ID,data,label
sub-gl108_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl108\sub-gl108_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl108\sub-gl108_dir-ax_seg-subreg_ctd.json
sub-gl146_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl146\sub-gl146_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl146\sub-gl146_dir-ax_seg-subreg_ctd.json
sub-gl195_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl195\sub-gl195_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl195\sub-gl195_dir-ax_seg-subreg_ctd.json
sub-gl216_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl216\sub-gl216_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl216\sub-gl216_dir-ax_seg-subreg_ctd.json
sub-gl217_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl217\sub-gl217_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl217\sub-gl217_dir-ax_seg-subreg_ctd.json
sub-gl279_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl279\sub-gl279_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl279\sub-gl279_dir-ax_seg-subreg_ctd.json
sub-gl348_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl348\sub-gl348_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl348\sub-gl348_dir-ax_seg-subreg_ctd.json
sub-gl419_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl419\sub-gl419_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl419\sub-gl419_dir-ax_seg-subreg_ctd.json
sub-gl428_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl428\sub-gl428_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl428\sub-gl428_dir-ax_seg-subreg_ctd.json
sub-gl492_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-gl492\sub-gl492_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-gl492\sub-gl492_dir-ax_seg-subreg_ctd.json
sub-verse502_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse502\sub-verse502_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse502\sub-verse502_dir-iso_seg-subreg_ctd.json
sub-verse509_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse509\sub-verse509_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse509\sub-verse509_dir-iso_seg-subreg_ctd.json
sub-verse512_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse512\sub-verse512_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse512\sub-verse512_dir-iso_seg-subreg_ctd.json
sub-verse517_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse517\sub-verse517_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse517\sub-verse517_dir-iso_seg-subreg_ctd.json
sub-verse524_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse524\sub-verse524_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse524\sub-verse524_dir-iso_seg-subreg_ctd.json
sub-verse526_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse526\sub-verse526_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse526\sub-verse526_dir-iso_seg-subreg_ctd.json
sub-verse540_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse540\sub-verse540_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse540\sub-verse540_dir-iso_seg-subreg_ctd.json
sub-verse546_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse546\sub-verse546_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse546\sub-verse546_dir-ax_seg-subreg_ctd.json
sub-verse550_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse550\sub-verse550_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse550\sub-verse550_dir-iso_seg-subreg_ctd.json
sub-verse551_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse551\sub-verse551_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse551\sub-verse551_dir-iso_seg-subreg_ctd.json
sub-verse552_dir-ax_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse552\sub-verse552_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse552\sub-verse552_dir-ax_seg-subreg_ctd.json
sub-verse555_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse555\sub-verse555_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse555\sub-verse555_dir-iso_seg-subreg_ctd.json
sub-verse558_dir-sag_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse558\sub-verse558_dir-sag_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse558\sub-verse558_dir-sag_seg-subreg_ctd.json
sub-verse560_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse560\sub-verse560_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse560\sub-verse560_dir-iso_seg-subreg_ctd.json
sub-verse563_dir-iso_seg-vert_snp,E:\Verse\dataset-03test\derivatives\sub-verse563\sub-verse563_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-03test\derivatives\sub-verse563\sub-verse563_dir-iso_seg-subreg_ctd.json
